S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
216,PFL,41.39,380.0,380.0,370.0,374.9,374.9,0.0,0.0,373.8,7544.0,373.0,2819929.7,71,1.9,10.0,0.51,2.7,0.29,381.79,380.47,443.0,351.6
217,PHCL,45.93,314.0,323.5,310.4,323.0,323.0,0.0,0.0,318.74,384411.0,310.0,122526768.7,937,13.0,13.1,4.19,4.22,1.32,306.16,300.16,420.0,249.7
218,PMHPL,44.28,317.0,317.0,306.3,308.0,308.0,0.0,0.0,309.17,14248.0,310.0,4405095.2,49,-2.0,10.7,-0.65,3.49,-0.38,330.95,335.22,428.0,287.0
219,PMLI,45.7,423.1,425.0,416.0,423.1,423.1,0.0,0.0,419.03,12703.0,423.4,5322915.5,104,-0.3,9.0,-0.07,2.16,0.96,453.61,469.8,543.6,392.6
220,PPCL,35.14,349.0,349.0,339.0,344.0,344.0,0.0,0.0,341.24,4573.0,342.9,1560481.1,38,1.1,10.0,0.32,2.95,0.8,363.71,366.71,462.0,284.1
221,PPL,41.77,318.0,328.0,313.1,326.9,326.9,0.0,0.0,324.41,22248.0,320.0,7217369.5,121,6.9,14.9,2.16,4.76,0.76,341.33,348.11,425.0,263.2
222,PRIN,38.52,600.0,606.9,595.0,600.0,600.0,0.0,0.0,598.79,7600.0,600.0,4550766.0,68,0.0,11.9,0.0,2.0,0.2,671.27,686.1,794.9,564.4
223,PROFL,35.38,380.0,399.0,380.0,388.0,388.0,0.0,0.0,386.99,1000.0,390.0,386994.0,20,-2.0,19.0,-0.51,5.0,0.26,434.8,446.03,522.0,360.1
224,PRSF,29.08,11.97,11.97,11.8,11.8,11.8,0.0,0.0,11.96,2363.0,11.82,28267.11,3,-0.02,0.17,-0.17,1.44,-1.38,12.71,12.19,13.61,9.85
225,PRVU,40.33,188.0,190.1,185.5,186.5,186.5,0.0,0.0,187.57,129892.0,187.7,24363238.8,352,-1.2,4.6,-0.64,2.48,-0.57,194.94,193.69,235.6,169.7
226,PSF,34.05,10.95,11.1,10.92,10.98,10.98,0.0,0.0,11.0,43900.0,10.91,482855.0,18,0.07,0.18,0.64,1.65,-0.17,11.99,11.67,13.0,9.91
227,PURE,39.45,827.5,827.5,772.0,789.0,789.0,0.0,0.0,788.6,5980.0,788.1,4715816.4,111,0.9,55.5,0.11,7.19,0.05,872.83,922.17,1262.0,662.0
228,RADHI,40.0,712.0,720.0,702.0,703.0,703.0,0.0,0.0,707.67,47217.0,701.2,33413959.0,118,1.8,18.0,0.26,2.56,-0.66,749.3,772.38,940.0,618.8
229,RAWA,42.51,405.0,425.8,405.0,422.0,422.0,0.0,0.0,421.56,21886.0,415.0,9226257.0,128,7.0,20.8,1.69,5.14,0.1,516.44,588.55,851.7,379.0
230,RBBF40,21.1,8.83,9.0,8.83,8.9,8.9,0.0,0.0,8.91,1900.0,9.02,16929.0,9,-0.12,0.17,-1.33,1.93,-0.11,9.33,0.0,10.36,8.73
231,RBCL,37.66,14000.0,14000.0,13600.0,13655.0,13655.0,0.0,0.0,13702.0,50.0,13601.0,685100.0,3,54.0,400.0,0.4,2.94,-0.34,14686.09,14812.16,16261.0,13106.0
232,RFPL,40.95,335.0,343.0,335.0,339.0,339.0,0.0,0.0,338.47,20161.0,336.0,6823989.3,142,3.0,8.0,0.89,2.39,0.15,356.74,368.93,464.2,306.0
